time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01 23:00:00,8750.55,8761.1,8746.48,8754.24,1664,3.6,0
2020-01-02 00:00:00,8754.49,8760.63,8752.8,8759.45,1097,3.57,0
2020-01-02 01:00:00,8759.55,8764.56,8750.48,8759.47,2125,3.46,0
2020-01-02 02:00:00,8759.64,8764.67,8758.11,8763.23,1655,3.41,0
2020-01-02 03:00:00,8763.32,8769.64,8763.32,8769.0,1074,3.41,0
2020-01-02 04:00:00,8768.96,8768.96,8765.0,8765.6,618,3.41,0
2020-01-02 05:00:00,8765.71,8767.21,8761.51,8766.8,1090,3.4,0
2020-01-02 06:00:00,8766.83,8767.53,8763.05,8766.13,1089,3.45,0
2020-01-02 07:00:00,8766.14,8777.11,8766.14,8773.59,1698,3.45,0
2020-01-02 08:00:00,8773.52,8785.92,8770.68,8783.82,2524,3.46,0
2020-01-02 09:00:00,8783.62,8794.31,8782.28,8793.16,2215,3.48,0
2020-01-02 10:00:00,8793.04,8799.69,8792.19,8795.8,1698,3.47,0
2020-01-02 11:00:00,8795.79,8796.18,8785.73,8786.06,1653,3.41,0
2020-01-02 12:00:00,8786.16,8796.57,8785.83,8796.39,1515,3.44,0
2020-01-02 13:00:00,8796.3,8808.64,8796.09,8806.12,1861,3.5,0
2020-01-02 14:00:00,8806.25,8829.39,8793.27,8825.35,2774,3.48,0
2020-01-02 15:00:00,8825.96,8827.05,8780.29,8806.21,3163,3.56,0
2020-01-02 16:00:00,8806.43,8811.36,8783.3,8807.37,2972,3.51,0
2020-01-02 17:00:00,8807.42,8823.14,8804.75,8821.94,2687,3.48,0
2020-01-02 18:00:00,8822.18,8822.56,8812.67,8822.45,2438,3.49,0
2020-01-02 19:00:00,8822.26,8841.52,8821.76,8840.41,2416,3.47,0
2020-01-02 20:00:00,8840.46,8866.19,8839.96,8866.19,2653,3.48,0
2020-01-02 21:00:00,8866.11,8878.99,8862.35,8878.99,1283,3.64,0
2020-01-02 23:00:00,8877.96,8884.71,8875.19,8876.08,1181,3.61,0
2020-01-03 00:00:00,8875.69,8881.22,8874.71,8879.93,884,3.65,0
