time,open,high,low,Close,tick_volume,spread,real_volume
1609833600,12661.5,12725.28,12657.78,12704.44,2700,400,0
1609837200,12704.4,12726.44,12697.23,12712.75,1959,389,0
1609840800,12713.54,12724.56,12708.88,12714.26,1552,390,0
1609844400,12714.58,12734.91,12687.99,12699.85,1792,391,0
1609848000,12701.2,12704.39,12663.26,12691.71,2381,384,0
1609851600,12691.54,12693.79,12623.29,12623.29,2602,404,0
1609855200,12623.6,12778.18,12621.74,12760.07,3729,401,0
1609858800,12764.86,12791.3,12722.91,12724.78,4315,422,0
1609862400,12726.12,12755.29,12698.57,12739.24,3602,401,0
1609866000,12740.05,12750.11,12711.21,12736.76,3321,397,0
1609869600,12737.05,12766.94,12732.05,12762.22,2534,387,0
1609873200,12763.08,12811.69,12761.42,12783.52,2763,392,0
1609876800,12784.2,12809.08,12763.89,12800.84,3222,402,0
1609887600,12798.54,12806.3,12792.69,12805.26,632,402,0
1609891200,12805.3,12853.61,12774.31,12788.07,2551,413,0
1609894800,12789.31,12801.89,12676.3,12727.41,3795,446,0
1609898400,12728.42,12745.86,12636.77,12654.75,3260,433,0
1609902000,12653.42,12668.04,12613.4,12631.78,3080,424,0
1609905600,12632.74,12657.37,12587.76,12621.58,3140,422,0
1609909200,12622.32,12648.27,12611.09,12621.05,2364,407,0
1609912800,12621.89,12675.94,12616.66,12641.14,2409,417,0
1609916400,12641.21,12673.74,12571.92,12582.09,2970,432,0
1609920000,12580.87,12605.45,12500.85,12527.69,3668,427,0
1609923600,12526.56,12601.08,12526.56,12590.74,2774,417,0
1609927200,12591.01,12592.9,12532.12,12549.21,2951,413,0
1609930800,12549.08,12587.49,12511.71,12582.53,2714,420,0
1609934400,12583.67,12640.38,12583.67,12598.68,2845,423,0
1609938000,12597.99,12651.94,12565.48,12580.83,2760,425,0
1609941600,12580.28,12676.74,12562.91,12644.63,4784,430,0
1609945200,12645.63,12776.77,12623.94,12743.27,4272,419,0
1609948800,12744.57,12794.9,12735.49,12762.26,3626,415,0
1609952400,12763.41,12805.53,12760.96,12776.87,3220,410,0
1609956000,12778.45,12803.67,12755.54,12780.82,3099,392,0
1609959600,12780.99,12794.05,12648.29,12694.07,4963,419,0
1609963200,12692.68,12711.09,12607.15,12630.25,5354,444,0
1609974000,12675.07,12689.16,12666.55,12684.28,783,420,0
1609977600,12684.31,12710.55,12668.3,12709.81,1878,403,0
1609981200,12709.92,12748.79,12708.16,12748.64,2020,400,0
1609984800,12747.55,12752.13,12724.36,12735.27,2008,411,0
1609988400,12735.74,12746.5,12718.29,12727.05,1541,405,0
1609992000,12727.48,12734.97,12708.49,12711.06,1372,398,0
1609995600,12711.2,12724.56,12704.16,12720.8,1817,396,0
1609999200,12721.74,12753.49,12720.06,12752.24,1542,403,0
1610002800,12753.65,12772.87,12710.8,12720.96,2339,421,0
1610006400,12720.12,12727.33,12672.08,12699.24,2825,400,0
1610010000,12699.46,12727.9,12684.86,12698.25,2618,411,0
1610013600,12697.73,12721.26,12681.85,12683.92,2332,409,0
1610017200,12683.46,12709.84,12674.29,12697.82,2152,394,0
1610020800,12698.58,12735.84,12696.23,12725.76,2186,402,0
1610024400,12726.01,12738.69,12716.28,12721.38,1987,410,0
1610028000,12721.39,12849.43,12721.37,12849.12,3346,391,0
1610031600,12851.5,12916.57,12844.19,12912.8,3771,404,0
1610035200,12914.34,12932.19,12888.36,12903.53,3122,396,0
1610038800,12904.76,12912.79,12880.76,12905.61,2789,389,0
1610042400,12906.21,12929.47,12881.43,12924.96,2715,388,0
1610046000,12925.76,12933.87,12915.26,12929.55,2672,393,0
1610049600,12930.34,12968.03,12926.4,12936.34,2970,393,0
1610060400,12933.38,12955.37,12931.65,12950.31,821,412,0
1610064000,12951.48,12968.21,12943.63,12964.09,1642,394,0
1610067600,12964.72,12984.8,12951.67,12976.01,1831,393,0
1610071200,12976.13,12988.99,12964.48,12970.07,1661,390,0
1610074800,12970.07,12979.32,12960.73,12978.12,1370,388,0
1610078400,12977.78,12978.97,12958.24,12969.15,1481,390,0
1610082000,12968.94,12982.07,12967.7,12978.76,1609,398,0
1610085600,12979.37,12985.74,12974.85,12982.74,1528,393,0
1610089200,12982.62,12997.57,12975.78,12992.82,1662,412,0
1610092800,12992.15,13003.47,12978.41,12983.61,2092,412,0
1610096400,12983.57,12991.36,12959.87,12990.17,2068,394,0
1610100000,12990.47,12997.08,12980.89,12987.5,1437,398,0
1610103600,12986.8,13002.37,12980.36,12988.77,1465,399,0
1610107200,12988.76,13015.69,12988.05,13003.68,1457,401,0
1610110800,13003.77,13025.2,12992.19,13008.0,1967,407,0
1610114400,13008.61,13062.42,12997.58,13030.08,3654,402,0
1610118000,13032.07,13065.7,12966.49,13042.99,4419,427,0
1610121600,13043.69,13069.48,13011.71,13044.49,3744,423,0
1610125200,13044.76,13077.2,13021.35,13045.29,3202,403,0
1610128800,13044.53,13052.51,12939.93,12998.83,4160,411,0
1610132400,12998.05,13058.59,12996.95,13054.27,3655,414,0
1610136000,13054.58,13114.6,13048.62,13102.75,3375,403,0
1610319600,13092.45,13098.22,13082.56,13093.93,867,421,0
1610323200,13094.06,13106.88,13064.25,13079.91,1776,411,0
1610326800,13078.73,13095.32,13057.45,13061.0,2191,412,0
1610330400,13061.75,13073.58,13034.06,13062.95,2175,408,0
1610334000,13063.76,13066.02,13037.81,13050.47,1927,415,0
1610337600,13050.81,13058.82,13034.87,13040.02,1619,407,0
1610341200,13040.06,13060.3,13037.38,13049.94,1761,414,0
1610344800,13050.12,13052.06,13036.69,13042.77,1545,417,0
1610348400,13043.73,13078.43,13040.79,13059.88,1782,419,0
1610352000,13059.38,13084.94,13046.35,13059.79,2328,411,0
1610355600,13059.79,13066.56,13045.08,13047.14,2036,407,0
1610359200,13046.87,13064.88,13034.65,13064.63,1783,414,0
1610362800,13064.07,13068.54,13049.75,13057.64,1562,420,0
1610366400,13056.56,13059.3,13015.67,13042.69,2015,416,0
1610370000,13042.13,13042.13,12981.93,12991.81,2477,418,0
1610373600,12992.53,12996.12,12902.96,12969.26,4702,413,0
1610377200,12968.26,13013.22,12952.69,12985.9,4173,424,0
1610380800,12986.44,12998.66,12942.42,12994.23,3525,416,0
1610384400,12994.17,13023.61,12988.31,13006.23,2910,403,0
1610388000,13005.9,13019.99,12954.82,12971.46,2916,394,0
1610391600,12971.69,12971.69,12919.1,12952.53,3404,412,0
1610395200,12953.3,12953.3,12884.29,12908.45,3973,422,0
1610406000,12933.37,12940.44,12928.08,12934.72,714,410,0
1610409600,12934.96,12956.01,12924.72,12950.07,1804,402,0
1610413200,12951.31,12955.17,12910.44,12934.26,2146,401,0
1610416800,12935.12,12941.09,12920.47,12940.65,1689,403,0
1610420400,12941.47,12948.01,12916.47,12926.01,1361,405,0
1610424000,12926.05,12926.52,12898.47,12912.69,1531,407,0
1610427600,12912.46,12931.58,12907.55,12928.02,1363,396,0
1610431200,12927.13,12944.49,12923.68,12932.98,1163,391,0
1610434800,12933.14,12953.51,12921.89,12948.84,1522,406,0
1610438400,12948.08,12959.94,12931.22,12941.54,1896,402,0
1610442000,12941.91,12970.31,12940.95,12962.9,1778,397,0
1610445600,12962.9,12967.06,12947.5,12957.7,1334,397,0
1610449200,12957.37,12962.29,12944.99,12949.97,1394,402,0
1610452800,12950.51,12960.57,12946.51,12954.46,1491,397,0
1610456400,12954.56,12956.27,12877.77,12894.44,2042,400,0
1610460000,12893.46,12958.59,12856.53,12901.55,3837,406,0
1610463600,12902.56,12928.83,12878.48,12897.41,4122,422,0
1610467200,12896.64,12938.17,12864.67,12880.47,3545,409,0
1610470800,12880.21,12884.66,12780.03,12858.36,3856,395,0
1610474400,12858.13,12909.19,12851.48,12895.7,3022,401,0
1610478000,12896.61,12921.7,12866.91,12889.67,3191,409,0
1610481600,12889.76,12921.63,12876.32,12895.81,2411,414,0
1610492400,12903.3,12912.96,12898.96,12910.19,478,408,0
1610496000,12911.28,12914.81,12900.54,12904.08,1168,394,0
1610499600,12903.83,12933.12,12900.24,12930.03,1491,397,0
1610503200,12930.06,12936.31,12925.46,12929.0,1304,395,0
1610506800,12929.14,12946.97,12928.28,12946.21,1068,394,0
1610510400,12946.35,12946.73,12933.43,12936.49,1024,393,0
1610514000,12936.62,12940.25,12924.81,12928.11,1026,388,0
1610517600,12928.29,12937.05,12925.17,12937.03,1083,385,0
1610521200,12937.09,12939.57,12927.13,12938.95,1067,402,0
1610524800,12938.76,12943.79,12918.81,12927.79,1777,389,0
1610528400,12926.97,12940.21,12926.5,12933.29,1190,388,0
1610532000,12933.62,12940.93,12885.79,12905.26,1657,394,0
1610535600,12905.05,12908.99,12867.84,12887.54,1973,396,0
1610539200,12886.79,12899.77,12844.69,12854.37,2544,409,0
1610542800,12854.5,12881.22,12831.97,12879.46,2338,402,0
1610546400,12880.31,12956.24,12873.39,12925.65,3573,397,0
1610550000,12926.43,12984.5,12883.73,12983.9,3955,410,0
1610553600,12984.37,13004.11,12958.58,12980.4,3240,395,0
1610557200,12981.22,12988.05,12949.2,12983.99,3059,394,0
1610560800,12983.69,12998.83,12975.96,12988.98,2574,390,0
1610564400,12989.28,13014.04,12975.89,13000.39,2858,392,0
1610568000,13001.75,13006.44,12969.52,12979.27,3014,399,0
1610578800,12988.24,12993.4,12979.94,12982.14,527,428,0
1610582400,12982.44,13012.7,12978.91,13008.07,1459,391,0
1610586000,13007.74,13024.04,13005.87,13020.87,1372,394,0
1610589600,13021.26,13025.72,12992.01,12996.09,1532,401,0
1610593200,12995.94,13001.08,12945.77,12968.01,1747,410,0
1610596800,12968.21,12969.52,12954.31,12967.36,1040,402,0
1610600400,12967.27,12983.96,12948.93,12975.86,1975,397,0
1610604000,12976.48,12981.66,12959.55,12968.46,1364,396,0
1610607600,12968.49,12975.09,12946.51,12971.27,1460,418,0
1610611200,12969.02,12992.37,12963.47,12984.2,1722,389,0
1610614800,12984.07,12992.65,12963.77,12964.4,1460,397,0
1610618400,12964.27,12966.13,12934.25,12953.83,1784,405,0
1610622000,12953.94,12973.35,12936.25,12973.28,1761,406,0
1610625600,12974.18,12989.8,12967.45,12984.66,1675,408,0
1610629200,12984.53,12999.81,12974.73,12992.75,1704,395,0
1610632800,12993.09,13025.27,12979.89,13004.28,3253,408,0
1610636400,13003.75,13039.13,12992.94,13024.48,3469,402,0
1610640000,13025.4,13033.61,12980.31,12989.63,3034,398,0
1610643600,12988.86,12996.09,12945.56,12992.6,3052,391,0
1610647200,12992.19,12993.67,12955.42,12956.26,2890,398,0
1610650800,12956.64,12973.97,12946.95,12959.18,2778,390,0
1610654400,12959.2,12964.6,12891.08,12906.79,3523,391,0
1610665200,12929.72,12937.38,12923.64,12927.9,581,410,0
1610668800,12927.86,12932.68,12897.76,12909.03,2101,406,0
1610672400,12909.27,12920.63,12879.21,12897.14,2100,401,0
1610676000,12896.88,12920.71,12893.14,12920.36,1457,403,0
1610679600,12920.7,12925.77,12892.54,12896.49,1565,399,0
1610683200,12896.51,12899.46,12884.42,12889.8,1585,404,0
1610686800,12890.19,12890.19,12841.55,12845.19,2213,417,0
1610690400,12844.47,12878.3,12841.92,12874.74,1915,415,0
1610694000,12873.82,12899.44,12868.79,12890.5,1789,411,0
1610697600,12890.3,12907.78,12885.62,12903.06,2054,391,0
1610701200,12903.19,12911.48,12887.64,12889.57,1668,394,0
1610704800,12889.18,12907.45,12876.13,12882.39,1733,388,0
